algorithm,dataset,num_clusters,modularity,clustering_time,total_runtime,num_nodes,num_edges,initial_partition,date,timestamp
ec_louvain_partition.json-node2vec,2_section_graph.pickle,5,0.2843978478206849,0.052811384201049805,0.06256484985351562,242,8317,partition.json,2025-05-12,20:14:10
ec_louvain_cluster_labels.npy-node2vec,2_section_graph.pickle,5,0.2807991266585766,0.08863449096679688,0.16148161888122559,242,8317,cluster_labels.npy,2025-05-12,20:14:10
ec_louvain_cluster_summary.json-node2vec,2_section_graph.pickle,1,0.0,0.0598909854888916,0.23263263702392578,242,8317,cluster_summary.json,2025-05-12,20:14:10
ec_louvain_partition.json-deepwalk,2_section_graph.pickle,5,0.2843978478206849,0.04242563247680664,0.05077552795410156,242,8317,partition.json,2025-05-12,20:23:49
ec_louvain_cluster_labels.npy-deepwalk,2_section_graph.pickle,6,0.2809806728221099,0.06407833099365234,0.1277904510498047,242,8317,cluster_labels.npy,2025-05-12,20:23:49
ec_louvain_cluster_summary.json-deepwalk,2_section_graph.pickle,1,0.0,0.06424880027770996,0.206373929977417,242,8317,cluster_summary.json,2025-05-12,20:23:49
ec_louvain_partition.json-node2vec,2_section_graph.pickle,3,0.2463741401585246,0.061217546463012695,0.07146620750427246,242,8317,partition.json,2025-05-12,21:05:14
ec_louvain_cluster_labels.npy-node2vec,2_section_graph.pickle,3,0.2678172315008066,0.05627608299255371,0.1363208293914795,242,8317,cluster_labels.npy,2025-05-12,21:05:14
ec_louvain_cluster_summary.json-node2vec,2_section_graph.pickle,1,0.0,0.040918588638305664,0.18641328811645508,242,8317,cluster_summary.json,2025-05-12,21:05:14
ec_louvain_partition.json-deepwalk,2_section_graph.pickle,6,0.2840350373975989,0.047150611877441406,0.05656313896179199,242,8317,partition.json,2025-05-12,21:06:55
ec_louvain_cluster_labels.npy-deepwalk,2_section_graph.pickle,5,0.2645951268285286,0.0542752742767334,0.11703872680664062,242,8317,cluster_labels.npy,2025-05-12,21:06:55
ec_louvain_cluster_summary.json-deepwalk,2_section_graph.pickle,1,0.0,0.042554616928100586,0.17106175422668457,242,8317,cluster_summary.json,2025-05-12,21:06:55
