algorithm,dataset,num_clusters,modularity,ami,clustering_time,total_runtime,num_nodes,num_edges,date,timestamp


kmeans,node2vec_embeddings.pickle,20,0.4405813957660157,-1,0.5975596904754639,11.210371732711792,300,1751,2025-05-11,03:11:03
deepwalk-kmeans,deepwalk_embeddings.pickle,15,0.5078010762337115,-1,0.5770540237426758,10.364166975021362,300,1749,2025-05-11,03:12:03
kmeans,node2vec_embeddings.pickle,10,0.8424725163220732,-1,0.444500207901001,11.125405311584473,327,2367,2025-05-11,03:14:55
deepwalk-kmeans,deepwalk_embeddings.pickle,4,0.7170542871669656,-1,0.5048182010650635,9.688530683517456,327,2363,2025-05-11,03:16:25
kmeans,node2vec_embeddings.pickle,9,0.6319238815201622,-1,0.31807374954223633,7.619725227355957,242,1821,2025-05-11,03:29:17
deepwalk-kmeans,deepwalk_embeddings.pickle,2,0.1282000753281382,-1,0.33982253074645996,6.662400007247925,242,1837,2025-05-11,03:32:11
kmeans,node2vec_embeddings.pickle,3,0.4933489164950861,-1,1.163667917251587,35.6109676361084,1434,8424,2025-05-11,03:46:06
deepwalk-kmeans,deepwalk_embeddings.pickle,2,0.24172839549552372,-1,1.1201012134552002,37.69997262954712,1434,8435,2025-05-11,03:50:16
